scenario,year,mean,low,high
ssp585,2087,291.8023332238175,291.2226075007548,292.2061445905955
ssp585,2088,291.89377760100024,291.29113071318744,292.30622371520013
ssp585,2089,292.04670908832395,291.5386550165706,292.36441290721217
ssp585,2090,292.16797362513904,291.91803709864365,292.4678950913933
ssp585,2091,292.0789051675102,291.4979425030954,292.39933734550533
ssp585,2092,292.1879817650399,291.5906755577339,292.5532894255601
ssp585,2093,292.3214935785042,291.75616222805564,292.6607487824327
ssp585,2094,292.22661671374277,291.72440215351895,292.5180670623467
ssp585,2095,292.3721544710748,291.77180893351016,292.8204209654843
ssp585,2096,292.4627762423676,291.82263454291905,292.88617627721356
ssp585,2097,292.4885597201837,291.9478407961568,292.9736605048533
ssp585,2098,292.5323395749249,291.9235249578349,293.03175686807805
ssp585,2099,292.60369926519695,292.07683992617484,293.01211222448154
ssp585,2100,292.7248078247703,292.08138126708786,293.26702347134454
